,Digraphs,Probability
0,th,3.886734353327326
1,he,3.2775566480034857
2,an,1.9341974703261693
3,in,1.6834057219191607
4,er,1.6815572166709183
5,nd,1.540633898382177
6,ha,1.3353041760198232
7,re,1.3190037206489575
8,es,1.2492646590107181
9,ea,1.1280363239123423
10,ou,1.0914471230592515
11,en,1.075325916682155
12,to,1.0683912212357178
13,nt,1.0473406675299746
14,st,1.0391400260650443
15,at,1.0330231541526782
16,hi,0.9968372635355677
17,ed,0.9704316461409764
18,or,0.9673283979363512
19,on,0.9479022882366391
20,et,0.9238269077610445
21,of,0.9065069737381178
22,is,0.8880891396283563
23,it,0.872315228176687
24,ng,0.8314576606594727
25,ar,0.7677346433746043
26,se,0.766390275921337
27,as,0.759276331481131
28,al,0.7577079027856526
29,ll,0.7280982096274411
30,sa,0.7230904408640205
31,ve,0.6877447799052019
32,el,0.6755222391425804
33,le,0.6680946089632788
34,no,0.6564546274304063
35,te,0.6557712406416621
36,ti,0.6499680544683918
37,sh,0.6369052840474781
38,me,0.6286598303341056
39,ot,0.609121690013288
40,ne,0.5959692950954899
41,ho,0.5869620331585992
42,so,0.5851023248482461
43,dt,0.5641189895151661
44,ro,0.5443679910142479
45,be,0.542631516387111
46,tt,0.5374108894435898
47,ta,0.5343636565495173
48,ri,0.5211776524453876
49,ee,0.5073418707388453
50,de,0.5072522462419609
51,da,0.5060983308445731
52,em,0.5055717869253767
53,ra,0.5028606458946211
54,ma,0.500261535484971
55,om,0.483512957629683
56,rt,0.46981161266846744
57,wh,0.46960995755047735
58,wi,0.44804406298764826
59,fo,0.44765195581377865
60,ss,0.4421064400690512
61,wa,0.43967537559105957
62,li,0.4393504867898533
63,ei,0.4370762651814095
64,ew,0.4364040814547759
65,di,0.4355414456722627
66,lo,0.4258283908224067
67,ec,0.42135836904029306
68,si,0.4198683617795885
69,ut,0.41205982748852776
70,rs,0.4077914608244042
71,ch,0.4053267871600809
72,ow,0.40462099424711556
73,co,0.40187624403002825
74,us,0.4005542827009821
75,ur,0.3965211803411803
76,ft,0.39494154858359126
77,ai,0.39118852277655347
78,il,0.39029227780770864
79,la,0.38289825681473866
80,na,0.3788763575170474
81,un,0.37375655813252123
82,do,0.3698802986422673
83,ht,0.3603352897240697
84,yo,0.3603128835998486
85,ce,0.3568399343455748
86,eh,0.3565598577928108
87,eo,0.355484363830197
88,ns,0.35068945324687706
89,ad,0.3493674919178309
90,we,0.3385453339190294
91,ds,0.3352740397827457
92,gh,0.3300982250876668
93,ts,0.32804806472143416
94,ld,0.31777485676605016
95,ef,0.3145819840645404
96,id,0.31451476569187703
97,rd,0.31334964723237874
98,im,0.31053767864262805
99,am,0.29524549886171286
100,ic,0.29448369063819474
101,mo,0.2893078759431158
102,pe,0.2866975624713552
103,ca,0.28454657454612753
104,ep,0.2833478469002976
105,oo,0.2814321232793917
106,ly,0.28056948749687854
107,ey,0.28050226912421516
108,ni,0.2744974278329547
109,ir,0.2726825317710439
110,os,0.2724360644046116
111,ke,0.2722904245971743
112,ac,0.2663864108649089
113,ul,0.26424662600179183
114,ay,0.2633727871571681
115,go,0.25387259048741273
116,fa,0.24911128909042451
117,ev,0.24801338900358957
118,dh,0.24683706748198073
119,ie,0.245503903090824
120,mi,0.24430517544499403
121,tw,0.2442267540102201
122,ol,0.24048493126529288
123,nc,0.23713521569423526
124,av,0.2361941584769482
125,eb,0.23427843485604233
126,od,0.2334382051977503
127,lt,0.2328668490301117
128,tr,0.23037976924156725
129,bu,0.22980841307392866
130,ga,0.22943871202428018
131,io,0.22887855891875214
132,wo,0.2230417635591501
133,ge,0.22135010118045545
134,fi,0.22029701334206275
135,sw,0.21668962734246225
136,ig,0.21234283924356476
137,su,0.20836575219431577
138,po,0.20637160713863598
139,ry,0.20181196085963785
140,pr,0.2001987199157171
141,pa,0.1992352565742089
142,dw,0.1974203605122981
143,sp,0.19661374004033774
144,fe,0.19606478999692029
145,ys,0.19234537337621418
146,ab,0.18927573435792058
147,yt,0.18595962797319465
148,ye,0.18260991240213706
149,fr,0.17698597522263565
150,eg,0.17345701065780908
151,db,0.17089150943449072
152,tu,0.1680571347205189
153,tl,0.16347508231729962
154,ag,0.15948679220594006
155,bo,0.1594755891438295
156,pl,0.1578623481999088
157,ya,0.15721257059749627
158,rn,0.15702211854161674
159,nh,0.1554200806598066
160,op,0.15315706211347335
161,ty,0.15301142230603607
162,sc,0.15075960682181339
163,up,0.14941523936854612
164,if,0.14889989851146035
165,bl,0.14835094846804286
166,ap,0.1478356076109571
167,iv,0.14448589203989948
168,my,0.14332077358040118
169,ia,0.14177475100914383
170,ls,0.14177475100914383
171,ug,0.1411025672825102
172,gr,0.1400158702577858
173,gt,0.13994865188512245
174,gi,0.13909721916471984
175,dr,0.13767443027667867
176,ak,0.13685660674260774
177,ki,0.13654292100351204
178,rm,0.13443674532672667
179,vi,0.13179282266863437
180,br,0.13128868487365913
181,oa,0.12865596527767742
182,dm,0.12652738347667092
183,oh,0.12544068645194653
184,sm,0.12384985163224693
185,ob,0.12091464935928008
186,ov,0.12035449625375205
187,mt,0.1198279523345557
188,df,0.11932381453958048
189,rh,0.11665748575726706
190,ru,0.11655665819827202
191,oi,0.11606372346540736
192,dn,0.11582845916108558
193,sb,0.11522349380711532
194,tb,0.11476416826058233
195,ck,0.11285964770178704
196,ct,0.1127812262670131
197,uc,0.1121874639751534
198,sf,0.11136964044108248
199,ba,0.10856887491344235
200,hy,0.1082663922364572
201,by,0.10742616257816516
202,aw,0.10742616257816516
203,gs,0.10739255339183348
204,rr,0.10714608602540115
205,yi,0.1059137491932395
206,nw,0.10535359608771146
207,ny,0.10525276852871641
208,rc,0.10416607150399204
209,du,0.10361712146057457
210,rw,0.10359471533635345
211,ff,0.10356110615002177
212,yw,0.10346027859102673
213,wn,0.10249681524951852
214,ci,0.10200388051665385
215,au,0.10195906826821162
216,tm,0.09978567421876286
217,ok,0.09953920685233053
218,pi,0.09918070886479259
219,mp,0.096111069846499
220,lf,0.0958870086042878
221,af,0.0958533994179561
222,sn,0.09579738410740331
223,dl,0.09576377492107163
224,sl,0.09468828095845781
225,pt,0.09444181359202548
226,ue,0.09444181359202548
227,hu,0.0944082044056938
228,dd,0.09296300939343148
229,tc,0.09235804403946121
230,mu,0.09207796748669721
231,ms,0.09099127046197283
232,tf,0.0909128490271989
233,cr,0.0909128490271989
234,oc,0.08924359277272538
235,nn,0.08808967737533764
236,rf,0.08785441307101588
237,ah,0.0871934324064928
238,rl,0.08609553231965787
239,hr,0.08596109557433114
240,dy,0.08561380064890377
241,fh,0.08556898840046152
242,kn,0.08508725672970742
243,qu,0.08423582400930482
244,ui,0.08393334133231968
245,ua,0.08361965559322398
246,yh,0.0834180004752339
247,rb,0.08135663704689075
248,pp,0.07931767974276874
249,ym,0.07889196338256743
250,eu,0.07772684492306914
251,dg,0.07696503669955101
252,dc,0.07660653871201308
253,nf,0.07641608665613354
254,ud,0.0763712744076913
255,nl,0.07620322847603289
256,lb,0.07585593355060552
257,yb,0.07571029374316823
258,um,0.0747804395879917
259,mb,0.0746684089668861
260,hh,0.07354810275583004
