,nothing,urls,text
0,12345,http://www.pythonchallenge.com/pc/def/linkedlist.php?nothing=12345,and the next nothing is 44827
1,44827,http://www.pythonchallenge.com/pc/def/linkedlist.php?nothing=44827,and the next nothing is 45439
2,45439,http://www.pythonchallenge.com/pc/def/linkedlist.php?nothing=45439,Your hands are getting tired and the next nothing is 94485
3,94485,http://www.pythonchallenge.com/pc/def/linkedlist.php?nothing=94485,and the next nothing is 72198
4,72198,http://www.pythonchallenge.com/pc/def/linkedlist.php?nothing=72198,and the next nothing is 80992
5,80992,http://www.pythonchallenge.com/pc/def/linkedlist.php?nothing=80992,and the next nothing is 8880
6,8880,http://www.pythonchallenge.com/pc/def/linkedlist.php?nothing=8880,and the next nothing is 40961
7,40961,http://www.pythonchallenge.com/pc/def/linkedlist.php?nothing=40961,and the next nothing is 58765
8,58765,http://www.pythonchallenge.com/pc/def/linkedlist.php?nothing=58765,and the next nothing is 46561
9,46561,http://www.pythonchallenge.com/pc/def/linkedlist.php?nothing=46561,and the next nothing is 13418
10,13418,http://www.pythonchallenge.com/pc/def/linkedlist.php?nothing=13418,and the next nothing is 41954
11,41954,http://www.pythonchallenge.com/pc/def/linkedlist.php?nothing=41954,and the next nothing is 46782
12,46782,http://www.pythonchallenge.com/pc/def/linkedlist.php?nothing=46782,and the next nothing is 92730
13,92730,http://www.pythonchallenge.com/pc/def/linkedlist.php?nothing=92730,and the next nothing is 89229
14,89229,http://www.pythonchallenge.com/pc/def/linkedlist.php?nothing=89229,and the next nothing is 25646
15,25646,http://www.pythonchallenge.com/pc/def/linkedlist.php?nothing=25646,and the next nothing is 74288
16,74288,http://www.pythonchallenge.com/pc/def/linkedlist.php?nothing=74288,and the next nothing is 25945
17,25945,http://www.pythonchallenge.com/pc/def/linkedlist.php?nothing=25945,and the next nothing is 39876
18,39876,http://www.pythonchallenge.com/pc/def/linkedlist.php?nothing=39876,and the next nothing is 8498
19,8498,http://www.pythonchallenge.com/pc/def/linkedlist.php?nothing=8498,and the next nothing is 34684
20,34684,http://www.pythonchallenge.com/pc/def/linkedlist.php?nothing=34684,and the next nothing is 62316
21,62316,http://www.pythonchallenge.com/pc/def/linkedlist.php?nothing=62316,and the next nothing is 71331
22,71331,http://www.pythonchallenge.com/pc/def/linkedlist.php?nothing=71331,and the next nothing is 59717
23,59717,http://www.pythonchallenge.com/pc/def/linkedlist.php?nothing=59717,and the next nothing is 76893
24,76893,http://www.pythonchallenge.com/pc/def/linkedlist.php?nothing=76893,and the next nothing is 44091
25,44091,http://www.pythonchallenge.com/pc/def/linkedlist.php?nothing=44091,and the next nothing is 73241
26,73241,http://www.pythonchallenge.com/pc/def/linkedlist.php?nothing=73241,and the next nothing is 19242
27,19242,http://www.pythonchallenge.com/pc/def/linkedlist.php?nothing=19242,and the next nothing is 17476
28,17476,http://www.pythonchallenge.com/pc/def/linkedlist.php?nothing=17476,and the next nothing is 39566
29,39566,http://www.pythonchallenge.com/pc/def/linkedlist.php?nothing=39566,and the next nothing is 81293
30,81293,http://www.pythonchallenge.com/pc/def/linkedlist.php?nothing=81293,and the next nothing is 25857
31,25857,http://www.pythonchallenge.com/pc/def/linkedlist.php?nothing=25857,and the next nothing is 74343
32,74343,http://www.pythonchallenge.com/pc/def/linkedlist.php?nothing=74343,and the next nothing is 39410
33,39410,http://www.pythonchallenge.com/pc/def/linkedlist.php?nothing=39410,and the next nothing is 5505
34,5505,http://www.pythonchallenge.com/pc/def/linkedlist.php?nothing=5505,and the next nothing is 27104
35,27104,http://www.pythonchallenge.com/pc/def/linkedlist.php?nothing=27104,and the next nothing is 54003
36,54003,http://www.pythonchallenge.com/pc/def/linkedlist.php?nothing=54003,and the next nothing is 23501
37,23501,http://www.pythonchallenge.com/pc/def/linkedlist.php?nothing=23501,and the next nothing is 21110
38,21110,http://www.pythonchallenge.com/pc/def/linkedlist.php?nothing=21110,and the next nothing is 88399
39,88399,http://www.pythonchallenge.com/pc/def/linkedlist.php?nothing=88399,and the next nothing is 49740
40,49740,http://www.pythonchallenge.com/pc/def/linkedlist.php?nothing=49740,and the next nothing is 31552
41,31552,http://www.pythonchallenge.com/pc/def/linkedlist.php?nothing=31552,and the next nothing is 39998
42,39998,http://www.pythonchallenge.com/pc/def/linkedlist.php?nothing=39998,and the next nothing is 19755
43,19755,http://www.pythonchallenge.com/pc/def/linkedlist.php?nothing=19755,and the next nothing is 64624
44,64624,http://www.pythonchallenge.com/pc/def/linkedlist.php?nothing=64624,and the next nothing is 37817
45,37817,http://www.pythonchallenge.com/pc/def/linkedlist.php?nothing=37817,and the next nothing is 43427
46,43427,http://www.pythonchallenge.com/pc/def/linkedlist.php?nothing=43427,and the next nothing is 15115
